Step   |   Median   |   Stability
     0 |       7884 | 31.137724
     1 |       4932 | 4.580153
     2 |       4932 | 7.031250
     3 |       4896 | 7.086614
     4 |       4860 | 7.142857
     5 |       4572 | 1.600000
     6 |       4572 | 1.600000
     7 |       4572 | 1.600000
     8 |       4572 | 1.600000
     9 |       4572 | 1.600000
    10 |       4572 | 1.600000
    11 |       4572 | 1.600000
    12 |       4572 | 1.600000
    13 |       4572 | 1.600000
    14 |       4572 | 1.600000
    15 |       4572 | 1.600000
    16 |       4572 | 1.600000
    17 |       4572 | 1.600000
    18 |       4572 | 1.600000
    19 |       4572 | 1.600000
    20 |       4572 | 1.600000
    21 |       4572 | 1.600000
    22 |       4572 | 1.600000
    23 |       4572 | 1.600000
    24 |       4572 | 1.600000
    25 |       4572 | 1.600000
    26 |       4572 | 1.600000
    27 |       4572 | 1.600000
    28 |       4572 | 1.600000
    29 |       4572 | 0.793651
    30 |       4572 | 1.600000
    31 |       4572 | 1.600000
    32 |       4572 | 1.600000
    33 |       4572 | 1.600000
    34 |       4572 | 1.600000
    35 |       4572 | 1.600000
    36 |       4572 | 1.600000
    37 |       4572 | 1.600000
    38 |       4572 | 1.600000
    39 |       4572 | 1.600000
    40 |       4572 | 1.600000
    41 |       4572 | 1.600000
    42 |       4572 | 1.600000
    43 |       4572 | 1.600000
    44 |       4572 | 1.600000
    45 |       4572 | 1.600000
    46 |       4572 | 1.600000
    47 |       4572 | 1.600000
    48 |       4572 | 1.600000
    49 |       4536 | 0.800000
    50 |       4572 | 1.600000
    51 |       4572 | 1.600000
    52 |       4572 | 1.600000
    53 |       4572 | 1.600000
    54 |       4572 | 1.600000
    55 |       4572 | 1.600000
    56 |       4572 | 1.600000
    57 |       4572 | 1.600000
    58 |       4572 | 0.793651
    59 |       4572 | 1.600000
    60 |       4572 | 1.600000
    61 |       4572 | 1.600000
    62 |       4572 | 1.600000
    63 |       4572 | 1.600000
    64 |       4572 | 1.600000
    65 |       4572 | 1.600000
    66 |       4572 | 1.600000
    67 |       4572 | 1.600000
    68 |       4572 | 1.600000
    69 |       4572 | 1.600000
    70 |       4572 | 1.600000
    71 |       4536 | 0.800000
    72 |       4536 | 0.000000
    73 |       4572 | 0.793651
    74 |       4572 | 1.600000
    75 |       4572 | 1.600000
    76 |       4572 | 1.600000
    77 |       4572 | 1.600000
    78 |       4572 | 1.600000
    79 |       4572 | 1.600000
    80 |       4572 | 1.600000
    81 |       4572 | 1.600000
    82 |       4572 | 1.600000
    83 |       4572 | 1.600000
    84 |       4572 | 1.600000
    85 |       4572 | 1.600000
    86 |       4572 | 1.600000
    87 |       4572 | 1.600000
    88 |       4572 | 1.600000
    89 |       4572 | 1.600000
    90 |       4572 | 1.600000
    91 |       4572 | 1.600000
    92 |       4572 | 1.600000
    93 |       4536 | 0.800000
    94 |       4572 | 1.600000
    95 |       4572 | 1.600000
    96 |       4572 | 1.600000
    97 |       4572 | 1.600000
    98 |       4572 | 1.600000
    99 |       4572 | 1.600000
